,name of item,price (RM),number of downloads,item URL
53,"THAT GIRL Planner | Digital Planner 2024 | 2024 Daily, Weekly & Monthly Planner | GoodNotes Planner | Dated iPad Planner | 2024 Calendar",5.23,1100.0,https://www.etsy.com/listing/1630062632/that-girl-planner-digital-planner-2024?click_key=f52037754cae7f3c366b7986f25ae669ac3b773b%3A1630062632&click_sum=81a41283&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-38&pro=1&bes=1&dd=1
54,"Digital Planner | Student Planner | iPad Planner | GoodNotes Planner | Academic Planner Undated Planner, College Planner, Daily Planner iPad",7.97,1300.0,https://www.etsy.com/listing/1606556405/digital-planner-student-planner-ipad?click_key=aa4c2280d348c34a408878d19e6cab423eb4459c%3A1606556405&click_sum=a6b060ec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-39&pro=1&bes=1&sts=1&dd=1
55,"That Girl Undated Digital Planner, Goodnotes iPad Planner Daily Weekly Monthly Self Care Meal Planner 2024 Undated Digital Planner Calendar",5.23,3300.0,https://www.etsy.com/listing/1642184102/that-girl-undated-digital-planner?click_key=dbf992b72c80a74033d126646f7ca5a59474e7ee%3A1642184102&click_sum=89782432&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-40&pro=1&bes=1&sts=1&dd=1
56,"Digital Monthly Planner, Digital Planner, iPad Monthly planner, Minimalist Planner, iPad Planner, GoodNotes Planner, Notability Planner",14.26,142.0,https://www.etsy.com/listing/1433633261/digital-monthly-planner-digital-planner?click_key=f48563c262e23d47ec29b7f48c52c5d1ec8b7f8f%3A1433633261&click_sum=1439e1e6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-41&bes=1&dd=1
57,"Everyday Digital Stickers Book for Goodnotes, PNG Files of Digital Stickers, Sticky Notes, Digital Icon Stickers, Digital Planner Stickers",6.88,924.0,https://www.etsy.com/listing/1617118065/everyday-digital-stickers-book-for?click_key=52c7d5f887b2d119386e5c02f05e2be4cc8827ee%3A1617118065&click_sum=76f01ad6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-42&pro=1&bes=1&sts=1&dd=1
58,"Digital Planner 2024, 2025, Minimalist Digital Planner, iPad Planner, GoodNotes Planner, Daily, Weekly, Monthly, Aesthetic Digital Planner",4.74,317.0,https://www.etsy.com/listing/1592464840/digital-planner-2024-2025-minimalist?click_key=d0e856f9b23a0f1cc02871caf7e04589ae41585a%3A1592464840&click_sum=a1527b23&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-43&pro=1&bes=1&dd=1
59,Digital Planner 2024 2025 Undated Digital Planners Goodnotes Planner iPad Planner Daily Planner Weekly Planner Digital Journal ADHD Planner,73.52,25600.0,https://www.etsy.com/listing/661944197/digital-planner-2024-2025-undated?click_key=6f0ac9df3cb2459283f4e265216fc8ab3c8d5de4%3A661944197&click_sum=d2119486&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-44&pro=1&bes=1&sts=1&dd=1
60,"2024 Digital Planner, Portrait Planner, 2024 Dated Planner, Hyperlinked Digital Life Planner, GoodNotes That Girl Planner, Minimal Planner",20.31,410.0,https://www.etsy.com/listing/1653062464/2024-digital-planner-portrait-planner?click_key=22322b36a8ea7090a7453ecbd4a5ab99a002f136%3A1653062464&click_sum=b628464c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-45&pro=1&dd=1
61,"Premium Digital Planner, 2024 2025 Undated Calendar, ipad goodnotes notability planner, Digital journal Daily Weekly Monthly Digital Planner",4.25,171.0,https://www.etsy.com/listing/1562829893/premium-digital-planner-2024-2025?click_key=52250a0b5ba121e14110b2aba304ecf9286b5dc2%3A1562829893&click_sum=e2ab3efc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-46&pro=1&bes=1&dd=1
62,"Digital Daily Planner, Portrait Digital Planner, iPad 365 day planner, Daily Schedule, iPad Planner, GoodNotes Planner, Notability Planner",5.99,9500.0,https://www.etsy.com/listing/1215897135/digital-daily-planner-portrait-digital?click_key=ee7447177b7eb4f1dc0e8a82c250b9ff7ddcaecf%3A1215897135&click_sum=39c80569&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-47&pro=1&bes=1&dd=1
63,"Digital Notebook, Digital Journal, 20 Custom Sections, Lined, Grid, Dotted, Blank, Cornell and Schedule Note Templates | For iPad & Tablet",8.01,9900.0,https://www.etsy.com/listing/963903471/digital-notebook-digital-journal-20?click_key=a52e80d1bff0ece62c090d217c46512e03def8db%3A963903471&click_sum=62607b79&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-48&pro=1&bes=1&sts=1&dd=1
